Number,Location,Sequencing Pool,Sample_number
1,West Opunohu Backreef,1,45
2,West Opunohu Backreef,1,50
3,West Opunohu Backreef,3,38
4,West Opunohu Backreef,3,62
5,West Opunohu Backreef,5,65
6,East Opunohu Backreef,1,175
7,East Opunohu Backreef,1,178
8,East Opunohu Backreef,3,183
9,East Opunohu Backreef,3,192
10,East Opunohu Backreef,5,189
11,Public Beach Fringe,1,159
12,Public Beach Fringe,1,168
13,Public Beach Fringe,3,157
14,Public Beach Fringe,3,169
15,Public Beach Fringe,5,165
16,West Opunohu Fringe,1,232
17,West Opunohu Fringe,1,243
18,West Opunohu Fringe,3,224
19,West Opunohu Fringe,3,244
20,West Opunohu Fringe,5,240
